loan_id,LoanAmount,LoanType,EndDate_ID,InterestRate
2,32428.9,Mortgage,10966,2.12
3,31406.77,Personal,6860,4.63
5,27873.08,Auto,6364,7.03
6,25666.75,Auto,7058,6.84
7,23853.85,Personal,6618,7.41
8,8092.2,Personal,5943,2.85
9,11074.47,Personal,4510,5.36
10,38903.23,Personal,8316,2.28
11,18162.6,Personal,3235,2.12
12,12965.19,Mortgage,4745,7.43
13,37664.6,Mortgage,4775,4.45
14,33958.37,Auto,6094,5.2
16,24333.16,Mortgage,2149,1.79
17,26360.24,Auto,2332,2.89
19,19565.92,Mortgage,11263,3.28
21,42684.76,Personal,10273,1.96
22,34427.31,Mortgage,4036,4.02
23,17430.29,Auto,9470,2.8
24,14964.93,Auto,8328,5.33
25,35994.71,Mortgage,10359,3.52
28,35911.84,Mortgage,9184,4.0
30,26011.89,Personal,10731,6.82
31,26282.21,Auto,10903,3.51
32,40432.8,Mortgage,11702,4.29
33,49124.49,Auto,4206,5.58
34,48233.91,Personal,10312,4.7
35,5710.02,Mortgage,9932,5.45
37,35193.83,Mortgage,3539,1.85
38,38009.14,Personal,11773,5.8
41,32850.56,Personal,3918,2.81
42,13931.18,Mortgage,6127,3.35
43,48933.91,Auto,6150,4.43
45,19607.01,Mortgage,4876,2.93
46,39348.0,Auto,3683,4.95
47,49675.33,Auto,6067,3.89
48,31033.48,Personal,11419,5.66
50,8419.93,Personal,6659,4.1
51,20109.87,Auto,12259,4.66
52,47203.82,Auto,9086,5.28
53,27719.17,Mortgage,12262,1.54
54,38994.49,Auto,2435,5.55
55,28988.77,Personal,3071,3.06
56,39189.96,Auto,2622,6.36
57,19635.04,Personal,2203,4.89
58,42324.23,Mortgage,8118,5.25
59,19426.95,Auto,2817,7.29
60,13967.51,Mortgage,3281,6.27
61,35115.06,Auto,2705,5.87
62,32793.41,Auto,8194,3.97
63,36341.34,Auto,9235,4.43
64,49303.25,Mortgage,8918,3.12
65,15237.0,Mortgage,11200,2.48
66,29065.5,Personal,3562,2.95
67,44125.94,Auto,9501,6.1
69,30019.7,Personal,10032,7.25
70,46713.9,Mortgage,4985,2.13
71,45761.17,Personal,8711,7.22
72,38402.89,Mortgage,10258,4.64
74,32936.11,Mortgage,1907,6.22
75,30356.38,Auto,8247,5.99
77,11928.9,Personal,5725,3.05
78,22108.89,Personal,2431,6.6
79,48863.64,Mortgage,5250,2.42
81,42415.32,Mortgage,7152,1.81
82,33579.17,Personal,3540,4.84
83,20706.59,Mortgage,9972,5.64
84,25100.13,Mortgage,9803,7.29
86,41527.61,Personal,4382,5.85
87,15916.26,Mortgage,7897,6.87
88,46270.1,Personal,3982,6.0
89,36110.97,Mortgage,4116,6.9
90,25453.13,Mortgage,2375,5.76
91,43727.85,Personal,11466,6.46
92,19769.58,Personal,4783,6.15
94,35885.02,Auto,6441,5.32
96,10490.65,Auto,4641,2.46
97,38654.49,Auto,2288,7.2
99,48052.8,Auto,6545,4.42
100,14654.12,Mortgage,9530,6.76
101,8884.16,Personal,9410,5.5
104,42162.58,Personal,2742,1.54
106,20834.23,Personal,9058,7.49
108,7941.64,Mortgage,4525,2.2
109,47272.64,Personal,3190,5.35
110,36095.18,Personal,6399,4.43
111,13231.5,Auto,3528,5.89
112,34771.89,Mortgage,4246,6.08
113,14765.02,Personal,4600,4.49
114,14372.77,Auto,3279,3.14
115,33774.39,Auto,6064,3.97
116,37566.46,Personal,9411,6.78
117,39006.44,Mortgage,7364,6.79
118,41497.68,Mortgage,8302,4.26
119,39458.35,Auto,3354,4.59
120,34275.16,Mortgage,5766,4.38
121,40181.66,Mortgage,5332,3.54
122,11369.33,Personal,8117,4.66
123,31200.58,Auto,3772,2.35
125,48681.51,Mortgage,5608,3.28
126,44785.92,Personal,11195,1.55
127,6815.56,Personal,5099,2.9
128,15095.53,Auto,12396,4.58
130,33481.52,Personal,10442,5.06
